# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	60582
#@/user_id	windows11-caoayu-pc-i512400
ban 	搬 	c=0 d=0 t=60582
ban 	版	c=23 d=0.143227 t=60582
ban 	版 	c=0 d=0 t=60582
ban 	班	c=7 d=1.16551 t=60582
ban 	班 	c=0 d=0 t=60582
ban 	般	c=1 d=3.97693e-06 t=60582
ban 	辦	c=12 d=0.980199 t=60582
ban 	辦 	c=0 d=0 t=60582
ban ben 	版本	c=66 d=0.297207 t=60582
ban ben 	版本 	c=0 d=0 t=60582
ban ben de 	版本的	c=1 d=1.0345e-46 t=60582
ban ben de 	版本的 	c=0 d=0 t=60582
ban dao ti 	半導體	c=1 d=2.89532e-07 t=60582
ban dao ti 	半導體 	c=0 d=0 t=60582
ban de 	辦得	c=1 d=5.45035e-08 t=60582
ban de 	辦得 	c=0 d=0 t=60582
ban e ben 	班額本	c=2 d=6.55797e-08 t=60582
ban e ben 	班額本 	c=0 d=0 t=60582
ban er 	伴兒	c=0 d=4.02922e-43 t=60582
ban er 	伴兒 	c=0 d=0 t=60582
ban er bu neng 	伴兒不能	c=1 d=4.04942e-42 t=60582
ban er bu neng 	伴兒不能 	c=0 d=0 t=60582
ban fa 	辦法	c=1 d=4.32005e-09 t=60582
ban fa 	辦法 	c=0 d=0 t=60582
ban fu 	半幅	c=1 d=3.08441e-16 t=60582
ban fu 	半幅 	c=0 d=0 t=60582
ban ge 	半個	c=3 d=0.00105946 t=60582
ban ge 	半個 	c=0 d=0 t=60582
ban ge yue 	半個月	c=3 d=0.000184106 t=60582
ban ge yue 	半個月 	c=0 d=0 t=60582
ban gong 	辦公	c=5 d=0.19801 t=60582
ban gong 	辦公 	c=0 d=0 t=60582
ban jia 	搬家	c=1 d=1.00293e-05 t=60582
ban jia 	搬家 	c=0 d=0 t=60582
ban jiao 	半角	c=1 d=0.937067 t=60582
ban jie 	半節	c=1 d=1.55858e-15 t=60582
ban jie 	半節 	c=0 d=0 t=60582
ban lan gen 	板蓝根	c=1 d=5.87485e-08 t=60582
ban le 	搬了	c=1 d=3.21532e-05 t=60582
ban le 	辦了	c=1 d=8.98459e-06 t=60582
ban lu 	半路	c=1 d=0.000312783 t=60582
ban mian 	板面	c=1 d=1.30117e-09 t=60582
ban nian 	半年	c=4 d=0.7561 t=60582
ban nian 	半年 	c=0 d=0 t=60582
ban tan 	半灘	c=1 d=3.4508e-13 t=60582
ban tan 	半灘 	c=0 d=0 t=60582
ban tian 	半天	c=6 d=2.22131e-07 t=60582
ban tian 	半天 	c=0 d=0 t=60582
ban yun 	搬運	c=3 d=3.01623e-07 t=60582
ban yun 	搬運 	c=0 d=0 t=60582
ban zi 	板子	c=1 d=1.45094e-26 t=60582
ban zi 	板子 	c=0 d=0 t=60582
bang 	幫	c=4 d=8.25245e-06 t=60582
bang 	幫 	c=0 d=0 t=60582
bang 	榜	c=2 d=3.56982e-51 t=60582
bang 	榜 	c=0 d=0 t=60582
bang 	綁	c=1 d=0.923116 t=60582
bang 	綁 	c=0 d=0 t=60582
bang ding 	綁定	c=5 d=0.904837 t=60582
bang ding 	綁定 	c=0 d=0 t=60582
bang ka 	幫卡	c=1 d=4.29237e-51 t=60582
bang ka 	幫卡 	c=0 d=0 t=60582
bang ka 	綁卡	c=4 d=2.37669e-50 t=60582
bang ka 	綁卡 	c=0 d=0 t=60582
bang ni 	幫你	c=4 d=0.26982 t=60582
bang ni 	幫你 	c=0 d=0 t=60582
bang ta 	幫他	c=1 d=3.47046e-21 t=60582
bang ta 	幫他 	c=0 d=0 t=60582
bang wo 	幫我	c=6 d=0.70822 t=60582
bang wo 	幫我 	c=0 d=0 t=60582
bang zhu 	幫助	c=4 d=1.82376 t=60582
bang zhu 	幫助 	c=0 d=0 t=60582
bao 	保	c=1 d=0.970446 t=60582
bao 	保 	c=0 d=0 t=60582
bao 	包	c=24 d=1.55946 t=60582
bao 	包 	c=0 d=0 t=60582
bao 	堡	c=1 d=1.79652e-10 t=60582
bao 	堡 	c=0 d=0 t=60582
bao 	報	c=13 d=0.421052 t=60582
bao 	報 	c=0 d=0 t=60582
bao 	寶	c=2 d=2.1992e-07 t=60582
bao 	寶 	c=0 d=0 t=60582
bao 	爆	c=2 d=3.15165e-05 t=60582
bao 	爆 	c=0 d=0 t=60582
bao 	薄	c=1 d=3.04046e-53 t=60582
bao 	薄 	c=0 d=0 t=60582
bao bei 	報備	c=1 d=1.0306e-31 t=60582
bao bei 	報備 	c=0 d=0 t=60582
bao chi 	保持	c=9 d=0.462224 t=60582
bao chi 	保持 	c=0 d=0 t=60582
bao cun 	保存	c=33 d=1.46556 t=60582
bao cun 	保存 	c=0 d=0 t=60582
bao cun xi ai 	保存喜愛	c=1 d=0.358796 t=60582
bao cun xi ai 	保存喜愛 	c=0 d=0 t=60582
bao cun xia 	保存下	c=3 d=0.0605068 t=60582
bao cun xia 	保存下 	c=0 d=0 t=60582
bao cuo 	報錯	c=45 d=0.918558 t=60582
bao cuo 	報錯 	c=0 d=0 t=60582
bao cuo le 	抱錯了	c=2 d=2.49848e-08 t=60582
bao cuo le 	抱錯了 	c=0 d=0 t=60582
bao ding 	保定	c=1 d=1.17168e-11 t=60582
bao dong 	堡棟	c=3 d=0.0081887 t=60582
bao dong 	堡棟 	c=0 d=0 t=60582
bao fa 	爆发	c=1 d=0.128093 t=60582
bao guang 	曝光	c=1 d=5.83145e-09 t=60582
bao guang 	曝光 	c=0 d=0 t=60582
bao guo 	包裹	c=1 d=3.96101e-47 t=60582
bao guo 	包裹 	c=0 d=0 t=60582
bao han 	包含	c=9 d=0.000614317 t=60582
bao han 	包含 	c=0 d=0 t=60582
bao hu 	保護	c=4 d=4.08816e-07 t=60582
bao hu 	保護 	c=0 d=0 t=60582
bao jia 	報價	c=1 d=1.1335e-33 t=60582
bao jia 	報價 	c=0 d=0 t=60582
bao kuo 	包括	c=6 d=0.283663 t=60582
bao kuo 	包括 	c=0 d=0 t=60582
bao lei 	堡壘	c=2 d=0.0144424 t=60582
bao lei 	堡壘 	c=0 d=0 t=60582
bao lei ji 	堡壘機	c=23 d=1.23237 t=60582
bao lei ji 	堡壘機 	c=0 d=0 t=60582
bao liu 	保留	c=8 d=0.40657 t=60582
bao liu 	保留 	c=0 d=0 t=60582
bao lou 	報漏	c=1 d=3.49558e-47 t=60582
bao lou 	報漏 	c=0 d=0 t=60582
bao lu 	暴露	c=1 d=1.53063e-08 t=60582
bao lu 	暴露 	c=0 d=0 t=60582
bao man 	爆滿	c=1 d=3.81308e-11 t=60582
bao man 	爆滿 	c=0 d=0 t=60582
bao mi 	保密	c=1 d=9.69227e-45 t=60582
bao mi 	保密 	c=0 d=0 t=60582
bao qian 	抱歉	c=2 d=1.08402e-08 t=60582
bao qian 	抱歉 	c=0 d=0 t=60582
bao shan 	寶山	c=1 d=2.2106e-09 t=60582
bao shan 	寶山 	c=0 d=0 t=60582
bao song 	報送	c=1 d=2.12501e-15 t=60582
bao song 	報送 	c=0 d=0 t=60582
bao ta 	寶塔	c=1 d=3.57189e-07 t=60582
bao ta 	寶塔 	c=0 d=0 t=60582
bao wei 	包圍	c=1 d=1.22498e-05 t=60582
bao wei 	包圍 	c=0 d=0 t=60582
bao wen 	保溫	c=0 d=1.65041e-13 t=60582
bao wen 	保溫 	c=0 d=0 t=60582
bao wen 	報文	c=1 d=1.16865e-10 t=60582
bao wen 	報文 	c=0 d=0 t=60582
bao xian 	保险	c=1 d=7.58127e-08 t=60582
bao xiao 	報銷	c=3 d=6.68931e-07 t=60582
bao xiao 	報銷 	c=0 d=0 t=60582
bao xiao dan 	報銷單	c=13 d=0.71177 t=60582
bao xiao dan 	報銷單 	c=0 d=0 t=60582
bao xiao ren 	報銷人	c=1 d=6.72284e-06 t=60582
bao xiao ren 	報銷人 	c=0 d=0 t=60582
