# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3578
#@/user_id	windows11-caoayu-pc-i512400
biao shi 	表示	c=1 d=3.44845e-05 t=3578
biao shi 	表示 	c=0 d=0 t=3578
biao ti 	标题	c=1 d=0.236928 t=3578
biao ti 	標題 	c=0 d=0 t=3578
biao tou 	表頭 	c=0 d=0 t=3578
biao yan 	表演 	c=0 d=0 t=3578
biao zhi 	標誌 	c=0 d=0 t=3578
biao zhong 	表中 	c=0 d=0 t=3578
biao zhu 	標註 	c=0 d=0 t=3578
biao zhun 	標準 	c=0 d=0 t=3578
bie 	別 	c=0 d=0 t=3578
bie 	别	c=2 d=0.0243564 t=3578
bie 	憋 	c=0 d=0 t=3578
bie de 	別的 	c=0 d=0 t=3578
bie de 	别的	c=2 d=0.55991 t=3578
bie ji dong 	別激動 	c=0 d=0 t=3578
bie mai 	別買 	c=0 d=0 t=3578
bie ming 	別名 	c=0 d=0 t=3578
bie niu 	彆扭 	c=0 d=0 t=3578
bie ren 	別人 	c=0 d=0 t=3578
bie san 	癟三 	c=0 d=0 t=3578
bie yong 	別用 	c=0 d=0 t=3578
bin 	斌 	c=0 d=0 t=3578
bing 	並 	c=0 d=0 t=3578
bing 	冰 	c=0 d=0 t=3578
bing 	并	c=2 d=0.980199 t=3578
bing 	病 	c=0 d=0 t=3578
bing 	餅 	c=0 d=0 t=3578
bing bu shi 	並不是 	c=0 d=0 t=3578
bing du 	病毒 	c=0 d=0 t=3578
bing mei you 	並沒有 	c=0 d=0 t=3578
bing qie 	並且 	c=0 d=0 t=3578
bing qiu 	冰球 	c=0 d=0 t=3578
bing wei 	並未 	c=0 d=0 t=3578
bing wei qu guo 	並未去過 	c=0 d=0 t=3578
bing wu 	並無 	c=0 d=0 t=3578
bo 	博 	c=0 d=0 t=3578
bo fang 	播放 	c=0 d=0 t=3578
bo he shui 	薄荷水 	c=0 d=0 t=3578
bo hui 	駁回 	c=0 d=0 t=3578
bo ke 	博客 	c=0 d=0 t=3578
bo li 	玻璃 	c=0 d=0 t=3578
bo shi dun 	波士頓 	c=0 d=0 t=3578
bo zi 	脖子	c=1 d=0.017249 t=3578
bu 	不	c=10 d=0.923977 t=3578
bu 	不 	c=0 d=0 t=3578
bu 	布 	c=0 d=0 t=3578
bu 	步 	c=0 d=0 t=3578
bu 	補 	c=0 d=0 t=3578
bu 	部 	c=0 d=0 t=3578
bu ai 	不愛 	c=0 d=0 t=3578
bu ai wo 	不愛我 	c=0 d=0 t=3578
bu bao kuo 	不包括	c=1 d=0.0195457 t=3578
bu bao kuo 	不包括 	c=0 d=0 t=3578
bu bi 	不比	c=0 d=0.0425283 t=3578
bu bi 	不比 	c=0 d=0 t=3578
bu bi zhe 	不比这	c=1 d=0.427415 t=3578
bu bian 	不變 	c=0 d=0 t=3578
bu cha 	不差 	c=0 d=0 t=3578
bu chao gu 	不炒股 	c=0 d=0 t=3578
bu chi 	不吃 	c=0 d=0 t=3578
bu chi le 	不吃了 	c=0 d=0 t=3578
bu chi xi 	不吃席 	c=0 d=0 t=3578
bu chong 	補充 	c=0 d=0 t=3578
bu chu lai 	不出來 	c=0 d=0 t=3578
bu chu li 	不處理 	c=0 d=0 t=3578
bu chuan 	不傳 	c=0 d=0 t=3578
bu chuan 	不穿 	c=0 d=0 t=3578
bu cun zai 	不存在 	c=0 d=0 t=3578
bu cuo 	不錯 	c=0 d=0 t=3578
bu cuo le 	不錯了 	c=0 d=0 t=3578
bu da 	不大	c=1 d=0.000902809 t=3578
bu da 	不大 	c=0 d=0 t=3578
bu da 	不打 	c=0 d=0 t=3578
bu dai 	不戴 	c=0 d=0 t=3578
bu dai san 	不帶傘 	c=0 d=0 t=3578
bu dao 	不到 	c=0 d=0 t=3578
bu dao 	不道	c=2 d=0.344728 t=3578
bu dao 	不道 	c=0 d=0 t=3578
bu deng 	不等 	c=0 d=0 t=3578
bu deng yu 	不等於 	c=0 d=0 t=3578
bu di 	不低 	c=0 d=0 t=3578
bu dong 	不動 	c=0 d=0 t=3578
bu dong 	不懂 	c=0 d=0 t=3578
bu dou shi 	不都是	c=1 d=0.509156 t=3578
bu dou shi 	不都是 	c=0 d=0 t=3578
bu duan 	不斷 	c=0 d=0 t=3578
bu dui 	不对	c=1 d=6.84094e-05 t=3578
bu dui 	不對 	c=0 d=0 t=3578
bu dui jin 	不對勁 	c=0 d=0 t=3578
bu dui le 	不對了 	c=0 d=0 t=3578
bu duo 	不多 	c=0 d=0 t=3578
bu duo jian 	不多見 	c=0 d=0 t=3578
bu e 	不餓 	c=0 d=0 t=3578
bu er 	布爾 	c=0 d=0 t=3578
bu fang 	不放 	c=0 d=0 t=3578
bu fei 	不費 	c=0 d=0 t=3578
bu fei yan 	不費眼 	c=0 d=0 t=3578
bu fen 	部分 	c=0 d=0 t=3578
bu fu he 	不符合 	c=0 d=0 t=3578
bu gai 	不改 	c=0 d=0 t=3578
bu gai 	不該 	c=0 d=0 t=3578
bu gan 	不幹 	c=0 d=0 t=3578
bu gan 	不敢 	c=0 d=0 t=3578
bu gan jin 	不赶紧	c=1 d=0.0241131 t=3578
bu gan jing 	不乾淨 	c=0 d=0 t=3578
bu gan le 	不幹了 	c=0 d=0 t=3578
bu gao 	不高	c=1 d=0.767206 t=3578
bu gao xing 	不高兴	c=1 d=0.111359 t=3578
bu ge 	補個 	c=0 d=0 t=3578
bu ge li 	不隔離 	c=0 d=0 t=3578
bu gei 	不給 	c=0 d=0 t=3578
bu gei ta 	不給他 	c=0 d=0 t=3578
bu gei wo 	不給我 	c=0 d=0 t=3578
bu gen 	不跟 	c=0 d=0 t=3578
bu geng xin 	不更新 	c=0 d=0 t=3578
bu geng yuan 	不更元 	c=0 d=0 t=3578
bu gou 	不夠 	c=0 d=0 t=3578
bu gou chang 	不够长	c=1 d=0.00609675 t=3578
bu gou yong 	不夠用 	c=0 d=0 t=3578
bu guan 	不管 	c=0 d=0 t=3578
bu guan ji 	不關機 	c=0 d=0 t=3578
bu gui 	不貴 	c=0 d=0 t=3578
bu gui fan 	不規範 	c=0 d=0 t=3578
